ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSNFLAG,HCNFLAG,WMOID,x,y,x_group,y_group,xy_group,hash
USC00214306,48.5011,-92.6444,342.0,MN,KETTLE FALLS,,,,-6825899.763932955,5393083.87521538,-6863743.9671962075 to -6766410.538479841,5302934.6223494485 to 5400268.051065815,"-6863743.9671962075 to -6766410.538479841, 5302934.6223494485 to 5400268.051065815",b7dec4c817946a2cd91ab6de3e6b4513ef4b7179c43f250948baac18
USC00214373,45.3533,-94.3056,353.6,MN,KIMBALL 3N,,,,-7369084.252893192,5043063.99066837,-7447744.539494399 to -7350411.110778033,5010934.336200353 to 5108267.764916719,"-7447744.539494399 to -7350411.110778033, 5010934.336200353 to 5108267.764916719",0646ca15618a055eafa56fdf9c26f0b5685657d69145e622b54e9183
USC00214418,43.8658,-91.31,197.2,MN,LA CRESCENT DAM 7,,,,-7320117.236175027,4877661.303628636,-7350411.110778034 to -7253077.682061668,4816267.478767622 to 4913600.907483988,"-7350411.110778034 to -7253077.682061668, 4816267.478767622 to 4913600.907483988",5d5eefb1727396b241a63ba0841160d5515bba7600d832826034fa09
USC00214453,43.7022,-95.1519,466.3,MN,LAKEFIELD 2NE,,,,-7649017.888018888,4859469.7879313575,-7739744.825643495 to -7642411.396927129,4816267.478767622 to 4913600.907483988,"-7739744.825643495 to -7642411.396927129, 4816267.478767622 to 4913600.907483988",6dfed3e9b3f61013e08d4d1d4f9433c5d58c84878eb9acee197cd2da
USC00214534,43.9981,-95.9572,502.9,MN,LAKE WILSON,,,,-7675579.075920247,4892372.413205346,-7739744.825643495 to -7642411.396927129,4816267.478767622 to 4913600.907483988,"-7739744.825643495 to -7642411.396927129, 4816267.478767622 to 4913600.907483988",6dfed3e9b3f61013e08d4d1d4f9433c5d58c84878eb9acee197cd2da
USC00214546,44.2394,-95.3153,347.5,MN,LAMBERTON SW RSCH & OUTREACH C,,,,-7593160.685946547,4919203.786907994,-7642411.3969271295 to -7545077.968210763,4913600.9074839875 to 5010934.336200354,"-7642411.3969271295 to -7545077.968210763, 4913600.9074839875 to 5010934.336200354",f995ca4646411f011c8707865495f87842569e445a626ca6f58705aa
USC00214652,47.2467,-94.2228,396.8,MN,LEECH LAKE,,HCN,,-7112314.634644816,5253600.762191754,-7155744.253345303 to -7058410.824628937,5205601.193633083 to 5302934.622349449,"-7155744.253345303 to -7058410.824628937, 5205601.193633083 to 5302934.622349449",10df73389d8c877543bc82f194d2e09781ee96cae0466d2c5d061972
USC00214778,45.1278,-94.5347,341.4,MN,LITCHFIELD,,,,-7416362.811464829,5017989.4992885655,-7447744.539494399 to -7350411.110778033,5010934.336200353 to 5108267.764916719,"-7447744.539494399 to -7350411.110778033, 5010934.336200353 to 5108267.764916719",0646ca15618a055eafa56fdf9c26f0b5685657d69145e622b54e9183
USC00214793,46.0039,-94.345,341.4,MN,LITTLE FALLS 2NNE,,,,-7286939.005266334,5115407.51213933,-7350411.110778034 to -7253077.682061668,5108267.764916718 to 5205601.193633084,"-7350411.110778034 to -7253077.682061668, 5108267.764916718 to 5205601.193633084",a0155a78c4160bb1e61139d4e1a5c442e1fbe29ff031ff1ff7e2209c
USC00214809,48.3681,-93.7214,365.8,MN,LITTLEFORK 10 SW,,,,-6923351.156848894,5378294.929080063,-6961077.395912573 to -6863743.967196207,5302934.6223494485 to 5400268.051065815,"-6961077.395912573 to -6863743.967196207, 5302934.6223494485 to 5400268.051065815",ea618ba1d3dc0b8313c55a963f6845f8fd0caebbfb851bad5582c485
USC00214861,45.9647,-94.8892,408.4,MN,LONG PRAIRIE,,,,-7334162.868095937,5111048.664857341,-7350411.110778034 to -7253077.682061668,5108267.764916718 to 5205601.193633084,"-7350411.110778034 to -7253077.682061668, 5108267.764916718 to 5205601.193633084",a0155a78c4160bb1e61139d4e1a5c442e1fbe29ff031ff1ff7e2209c
USC00214884,44.9783,-93.2469,229.8,MN,LOWER ST ANTHONY FALLS,,,,-7334481.403868664,5001365.834271798,-7350411.110778034 to -7253077.682061668,4913600.9074839875 to 5010934.336200354,"-7350411.110778034 to -7253077.682061668, 4913600.9074839875 to 5010934.336200354",93224eb643a4e7f4d2da8084ef34d9244c6b39dfd5cf24002d793096
USC00214918,47.6981,-90.6656,396.2,MN,LUTSEN 3NNE,,,,-6785269.3491853,5303794.222984854,-6863743.9671962075 to -6766410.538479841,5302934.6223494485 to 5400268.051065815,"-6863743.9671962075 to -6766410.538479841, 5302934.6223494485 to 5400268.051065815",b7dec4c817946a2cd91ab6de3e6b4513ef4b7179c43f250948baac18
USC00214990,43.5242,-91.7617,337.4,MN,MABEL,,,,-7398353.851493833,4839677.063028452,-7447744.539494399 to -7350411.110778033,4816267.478767622 to 4913600.907483988,"-7447744.539494399 to -7350411.110778033, 4816267.478767622 to 4913600.907483988",e8d8c0f08322727e2b62b221ed40e0efbd5e15c447ed6306000f1605
USC00214994,45.0025,-96.1661,329.2,MN,MADISON WWTP,,,,-7560902.565554218,5004056.755297923,-7642411.3969271295 to -7545077.968210763,4913600.9074839875 to 5010934.336200354,"-7642411.3969271295 to -7545077.968210763, 4913600.9074839875 to 5010934.336200354",f995ca4646411f011c8707865495f87842569e445a626ca6f58705aa
USC00215012,47.3169,-95.9692,369.4,MN,MAHNOMEN,,,,-7234533.932214077,5261406.657069192,-7253077.6820616685 to -7155744.253345302,5205601.193633083 to 5302934.622349449,"-7253077.6820616685 to -7155744.253345302, 5205601.193633083 to 5302934.622349449",945661213bfae827e679fd1dc39c84e6bceee5c4e6b1591e6db273e0
USC00215073,44.1542,-94.0211,259.1,MN,MANKATO,,,,-7500897.779726389,4909729.965774693,-7545077.968210764 to -7447744.539494398,4816267.478767622 to 4913600.907483988,"-7545077.968210764 to -7447744.539494398, 4816267.478767622 to 4913600.907483988",bf2a54171c936879e3bed72e37437b100f9e19ac02907099514dcad9
USC00215175,47.6308,-93.6522,422.8,MN,MARCELL 5NE,,HCN,,-7017823.771439782,5296310.793850216,-7058410.824628938 to -6961077.395912572,5205601.193633083 to 5302934.622349449,"-7058410.824628938 to -6961077.395912572, 5205601.193633083 to 5302934.622349449",a6a82c16ed3705456e77a679e1661c70abcb9dbda652c57934fdfcb5
USC00215204,44.4706,-95.7908,351.1,MN,MARSHALL,,,,-7600992.783375614,4944912.090265026,-7642411.3969271295 to -7545077.968210763,4913600.9074839875 to 5010934.336200354,"-7642411.3969271295 to -7545077.968210763, 4913600.9074839875 to 5010934.336200354",f995ca4646411f011c8707865495f87842569e445a626ca6f58705aa
USC00215325,45.6772,-94.8019,364.2,MN,MELROSE,,,,-7365349.99816252,5079080.078286636,-7447744.539494399 to -7350411.110778033,5010934.336200353 to 5108267.764916719,"-7447744.539494399 to -7350411.110778033, 5010934.336200353 to 5108267.764916719",0646ca15618a055eafa56fdf9c26f0b5685657d69145e622b54e9183
USC00215392,45.7533,-93.6617,324.3,MN,MILACA,,,,-7266862.975850086,5087542.0241580475,-7350411.110778034 to -7253077.682061668,5010934.336200353 to 5108267.764916719,"-7350411.110778034 to -7253077.682061668, 5010934.336200353 to 5108267.764916719",e98ba79678a9604415a4e8c93da6b3e522878bb7f166370614976b07
USC00215400,45.1219,-95.9269,310.9,MN,MILAN 1 NW,,HCN,,-7526360.971286101,5017333.448294592,-7545077.968210764 to -7447744.539494398,5010934.336200353 to 5108267.764916719,"-7545077.968210764 to -7447744.539494398, 5010934.336200353 to 5108267.764916719",78faa6502151c80dd40dedcfc927b63e540fe272d7441ac2a65a5273
USC00215488,44.16,-91.8122,204.2,MN,MINNESOTA CITY DAM 5,,,,-7323954.2847100645,4910374.897260292,-7350411.110778034 to -7253077.682061668,4816267.478767622 to 4913600.907483988,"-7350411.110778034 to -7253077.682061668, 4816267.478767622 to 4913600.907483988",5d5eefb1727396b241a63ba0841160d5515bba7600d832826034fa09
USC00215563,44.9342,-95.7461,301.8,MN,MONTEVIDEO 1 SW,,HCN,,-7536849.868492762,4996462.131079561,-7545077.968210764 to -7447744.539494398,4913600.9074839875 to 5010934.336200354,"-7545077.968210764 to -7447744.539494398, 4913600.9074839875 to 5010934.336200354",3ccbda56967107f5b66504512e4843aa227c9ecea3d448c6f373646e
USC00215586,46.8875,-96.7483,275.5,MN,MOORHEAD,,,,-7352328.590826818,5213659.4881180255,-7447744.539494399 to -7350411.110778033,5205601.193633083 to 5302934.622349449,"-7447744.539494399 to -7350411.110778033, 5205601.193633083 to 5302934.622349449",791a6b97de81db093508420dc802854ba2815712dfb1ea826d39c618
USC00215590,44.4175,-94.9217,317.0,MN,MORGAN,,,,-7538879.167694893,4939007.631319271,-7545077.968210764 to -7447744.539494398,4913600.9074839875 to 5010934.336200354,"-7545077.968210764 to -7447744.539494398, 4913600.9074839875 to 5010934.336200354",3ccbda56967107f5b66504512e4843aa227c9ecea3d448c6f373646e
USC00215598,46.4378,-92.7578,338.3,MN,MOOSE LAKE 1 SSE,,,,-7107952.439419867,5163655.058967256,-7155744.253345303 to -7058410.824628937,5108267.764916718 to 5205601.193633084,"-7155744.253345303 to -7058410.824628937, 5108267.764916718 to 5205601.193633084",431cadedd8ebaa7941444e278007cba946eff435cc30a056826c41db
USC00215615,45.8775,-93.3147,310.3,MN,MORA,,HCN,,-7223811.329193404,5101352.453556592,-7253077.6820616685 to -7155744.253345302,5010934.336200353 to 5108267.764916719,"-7253077.6820616685 to -7155744.253345302, 5010934.336200353 to 5108267.764916719",2a7730310a22b909d50d6bab659c05545b6a19c0bede75647f7bba63
USC00215638,45.59,-95.8744,347.5,MN,MORRIS W CNTRL RSCH & OUTREACH,,HCN,,-7460273.580676001,5069383.866985887,-7545077.968210764 to -7447744.539494398,5010934.336200353 to 5108267.764916719,"-7545077.968210764 to -7447744.539494398, 5010934.336200353 to 5108267.764916719",78faa6502151c80dd40dedcfc927b63e540fe272d7441ac2a65a5273
USC00215838,45.01,-93.3792,286.5,MN,NEW HOPE,,,,-7340825.919833523,5004890.718425855,-7350411.110778034 to -7253077.682061668,4913600.9074839875 to 5010934.336200354,"-7350411.110778034 to -7253077.682061668, 4913600.9074839875 to 5010934.336200354",93224eb643a4e7f4d2da8084ef34d9244c6b39dfd5cf24002d793096
USC00215842,45.305,-94.9392,381.0,MN,NEW LONDON,,,,-7424922.855632751,5037693.268124492,-7447744.539494399 to -7350411.110778033,5010934.336200353 to 5108267.764916719,"-7447744.539494399 to -7350411.110778033, 5010934.336200353 to 5108267.764916719",0646ca15618a055eafa56fdf9c26f0b5685657d69145e622b54e9183
USC00215845,45.2597,-94.9461,364.8,MN,NEW LONDON SPICER,,,,-7431393.826520113,5032656.130831786,-7447744.539494399 to -7350411.110778033,5010934.336200353 to 5108267.764916719,"-7447744.539494399 to -7350411.110778033, 5010934.336200353 to 5108267.764916719",0646ca15618a055eafa56fdf9c26f0b5685657d69145e622b54e9183
USC00215887,44.3006,-94.4897,271.3,MN,NEW ULM 2 SE,,HCN,,-7519556.486117125,4926008.926031915,-7545077.968210764 to -7447744.539494398,4913600.9074839875 to 5010934.336200354,"-7545077.968210764 to -7447744.539494398, 4913600.9074839875 to 5010934.336200354",3ccbda56967107f5b66504512e4843aa227c9ecea3d448c6f373646e
USC00215888,44.2944,-94.4083,281.9,MN,NEW ULM 3SE,,,,-7513871.956729505,4925319.516512824,-7545077.968210764 to -7447744.539494398,4913600.9074839875 to 5010934.336200354,"-7545077.968210764 to -7447744.539494398, 4913600.9074839875 to 5010934.336200354",3ccbda56967107f5b66504512e4843aa227c9ecea3d448c6f373646e
USC00215902,46.5233,-95.3847,428.5,MN,NEW YORK MILLS,,,,-7297772.54104031,5173162.2386256745,-7350411.110778034 to -7253077.682061668,5108267.764916718 to 5205601.193633084,"-7350411.110778034 to -7253077.682061668, 5108267.764916718 to 5205601.193633084",a0155a78c4160bb1e61139d4e1a5c442e1fbe29ff031ff1ff7e2209c
USC00215989,47.8358,-94.2556,431.3,MN,NORTHOME 3S,,,,-7035289.176833182,5319105.786013676,-7058410.824628938 to -6961077.395912572,5302934.6223494485 to 5400268.051065815,"-7058410.824628938 to -6961077.395912572, 5302934.6223494485 to 5400268.051065815",350ccfadfadbb41500aa6e28deeb125a5a5d6159f26cab41a04c8fdd
USC00216008,44.1708,-94.0386,304.8,MN,N MANKATO 2,,,,-7500183.240022643,4911575.804164514,-7545077.968210764 to -7447744.539494398,4816267.478767622 to 4913600.907483988,"-7545077.968210764 to -7447744.539494398, 4816267.478767622 to 4913600.907483988",bf2a54171c936879e3bed72e37437b100f9e19ac02907099514dcad9
USC00216152,44.7628,-94.9297,335.3,MN,OLIVIA 3E,,HCN,,-7494854.716244535,4977403.293729235,-7545077.968210764 to -7447744.539494398,4913600.9074839875 to 5010934.336200354,"-7545077.968210764 to -7447744.539494398, 4913600.9074839875 to 5010934.336200354",3ccbda56967107f5b66504512e4843aa227c9ecea3d448c6f373646e
USC00216211,48.0508,-92.7636,400.8,MN,ORR 3E,,,,-6895186.93649652,5343012.729014377,-6961077.395912573 to -6863743.967196207,5302934.6223494485 to 5400268.051065815,"-6961077.395912573 to -6863743.967196207, 5302934.6223494485 to 5400268.051065815",ea618ba1d3dc0b8313c55a963f6845f8fd0caebbfb851bad5582c485
USC00216228,46.2153,-96.1781,331.0,MN,ORWELL DAM,,,,-7400085.75983389,5138914.152838623,-7447744.539494399 to -7350411.110778033,5108267.764916718 to 5205601.193633084,"-7447744.539494399 to -7350411.110778033, 5108267.764916718 to 5205601.193633084",d28dab1ce9a014de9ecbfff8e00ae2879902a5f04b6fd19bcce8c23d
USC00216276,46.4144,-95.5464,411.2,MN,OTTERTAIL,,,,-7324784.088946779,5161053.0940081095,-7350411.110778034 to -7253077.682061668,5108267.764916718 to 5205601.193633084,"-7350411.110778034 to -7253077.682061668, 5108267.764916718 to 5205601.193633084",a0155a78c4160bb1e61139d4e1a5c442e1fbe29ff031ff1ff7e2209c
USC00216287,44.0981,-93.2308,347.5,MN,OWATONNA,,,,-7444915.6859188005,4903491.921577766,-7447744.539494399 to -7350411.110778033,4816267.478767622 to 4913600.907483988,"-7447744.539494399 to -7350411.110778033, 4816267.478767622 to 4913600.907483988",e8d8c0f08322727e2b62b221ed40e0efbd5e15c447ed6306000f1605
USC00216547,46.6694,-94.1089,381.0,MN,PINE RIVER DAM,,HCN,,-7180776.135900463,5189407.840357779,-7253077.6820616685 to -7155744.253345302,5108267.764916718 to 5205601.193633084,"-7253077.6820616685 to -7155744.253345302, 5108267.764916718 to 5205601.193633084",05285a085f050a3777678ffaaacef57661d02447433a512f6a6b213a
USC00216565,44.0139,-96.3258,519.7,MN,PIPESTONE,,HCN,,-7703011.229095239,4894129.295528188,-7739744.825643495 to -7642411.396927129,4816267.478767622 to 4913600.907483988,"-7739744.825643495 to -7642411.396927129, 4816267.478767622 to 4913600.907483988",6dfed3e9b3f61013e08d4d1d4f9433c5d58c84878eb9acee197cd2da
USC00216612,47.2508,-93.5861,390.1,MN,POKEGAMA DAM,,,,-7063707.156702267,5254056.662035024,-7155744.253345303 to -7058410.824628937,5205601.193633083 to 5302934.622349449,"-7155744.253345303 to -7058410.824628937, 5205601.193633083 to 5302934.622349449",10df73389d8c877543bc82f194d2e09781ee96cae0466d2c5d061972
USC00216654,43.6725,-92.0747,283.5,MN,PRESTON,,,,-7405315.405452433,4856167.293944749,-7447744.539494399 to -7350411.110778033,4816267.478767622 to 4913600.907483988,"-7447744.539494399 to -7350411.110778033, 4816267.478767622 to 4913600.907483988",e8d8c0f08322727e2b62b221ed40e0efbd5e15c447ed6306000f1605
